"Zupid","sku","ProductName","ProductPrice","CurrencySymbolOfPrice","ValidFromDate","ProductShortDescription","MerchantProductCategory","ZanoxCategoryIds","ImageSmallURL","ImageMediumURL","ProductManufacturerBrand","ZanoxProductLink","DeliveryTime","TermsOfContract","ISBN","ShippingAndHandling","ShippingAndHandlingCost"
"a5803008af8a0a0dc44402e54d857e36","0070000000131","Gran Paulet Gran Reserva Rotwein JG 1967","75.95","EUR",,"Rotwein - Spanien - Rioja. Diesen kraftvollen, körperreichen Jahrgangs-Rotwein erhalten Sie immer stilvoll in einer Spezialflasche verpackt in handgearbeiteter Winzerholzkiste mit Echtheitszertifikat.","Sonderaktionen / Jahrgangsweine / 1959-1970",,"http://shop.edeka24.de/out/pictures/generated/product/1/185_150_90/granpauletjahrgangswein_500_z1.jpg","http://shop.edeka24.de/out/pictures/generated/product/1/380_340_90/granpauletjahrgangswein_500_z1.jpg","Gran Paulet","http://www.zanox-affiliate.de/ppc/?20301248C727219293&ULP=[[yr8JQGgbKWpz7wmGWBzBEd-1]]","2",,,"Ab 75 EUR Warenwert liefern wir versandkostenfrei.","3.95"
"a7e1e675ff684b4c79db90fdbe845acf","0070000000132","Gran Paulet Gran Reserva Rotwein JG 1968","75.95","EUR",,"Rotwein - Spanien - Rioja. Diesen kraftvollen, körperreichen Jahrgangs-Rotwein erhalten Sie immer stilvoll in einer Spezialflasche verpackt in handgearbeiteter Winzerholzkiste mit Echtheitszertifikat.","Sonderaktionen / Jahrgangsweine / 1959-1970",,"http://shop.edeka24.de/out/pictures/generated/product/1/185_150_90/granpauletjahrgangswein_500_z1.jpg","http://shop.edeka24.de/out/pictures/generated/product/1/380_340_90/granpauletjahrgangswein_500_z1.jpg","Gran Paulet","http://www.zanox-affiliate.de/ppc/?20301248C727219293&ULP=[[AsRpBtWWNWpz7wmGWBzBEd-1]]","2",,,"Ab 75 EUR Warenwert liefern wir versandkostenfrei.","3.95"
"e9ec29f9525f2285e01b03934f957df1","0070000000133","Gran Paulet Gran Reserva Rotwein JG 1969","75.95","EUR",,"Rotwein - Spanien - Rioja. Diesen kraftvollen, körperreichen Jahrgangs-Rotwein erhalten Sie immer stilvoll in einer Spezialflasche verpackt in handgearbeiteter Winzerholzkiste mit Echtheitszertifikat.","Sonderaktionen / Jahrgangsweine / 1959-1970",,"http://shop.edeka24.de/out/pictures/generated/product/1/185_150_90/granpauletjahrgangswein_500_z1.jpg","http://shop.edeka24.de/out/pictures/generated/product/1/380_340_90/granpauletjahrgangswein_500_z1.jpg","Gran Paulet","http://www.zanox-affiliate.de/ppc/?20301248C727219293&ULP=[[i2MgBVRTRWpz7wmGWBzBEd-1]]","2",,,"Ab 75 EUR Warenwert liefern wir versandkostenfrei.","3.95"
"0278835dc9bba23732d6c63fe514d60a","0070000000134","Gran Paulet Gran Reserva Rotwein JG 1970","75.95","EUR",,"Rotwein - Spanien - Rioja. Diesen kraftvollen, körperreichen Jahrgangs-Rotwein erhalten Sie immer stilvoll in einer Spezialflasche verpackt in handgearbeiteter Winzerholzkiste mit Echtheitszertifikat.","Sonderaktionen / Jahrgangsweine / 1959-1970",,"http://shop.edeka24.de/out/pictures/generated/product/1/185_150_90/granpauletjahrgangswein_500_z1.jpg","http://shop.edeka24.de/out/pictures/generated/product/1/380_340_90/granpauletjahrgangswein_500_z1.jpg","Gran Paulet","http://www.zanox-affiliate.de/ppc/?20301248C727219293&ULP=[[AehjlkfjZWpz7wmGWBzBEd-1]]","2",,,"Ab 75 EUR Warenwert liefern wir versandkostenfrei.","3.95"
"9872bb74d32d564dacecb7c95c04a21c","0070000000135","Gran Paulet Gran Reserva Rotwein JG 1971","59.95","EUR",,"Rotwein - Spanien - Rioja. Diesen kraftvollen, körperreichen Jahrgangs-Rotwein erhalten Sie immer stilvoll in einer Spezialflasche verpackt in handgearbeiteter Winzerholzkiste mit Echtheitszertifikat.","Sonderaktionen / Jahrgangsweine / 1971-1980",,"http://shop.edeka24.de/out/pictures/generated/product/1/185_150_90/granpauletjahrgangswein_500_z1.jpg","http://shop.edeka24.de/out/pictures/generated/product/1/380_340_90/granpauletjahrgangswein_500_z1.jpg","Gran Paulet","http://www.zanox-affiliate.de/ppc/?20301248C727219293&ULP=[[5N0YlvBV4Xpz7wmGWBzBEd-1]]","2",,,"Ab 75 EUR Warenwert liefern wir versandkostenfrei.","3.95"
"ed0ab37a202bf542bbc593d524c3514b","0070000000136","Gran Paulet Gran Reserva Rotwein JG 1972","59.95","EUR",,"Rotwein - Spanien - Rioja. Diesen kraftvollen, körperreichen Jahrgangs-Rotwein erhalten Sie immer stilvoll in einer Spezialflasche verpackt in handgearbeiteter Winzerholzkiste mit Echtheitszertifikat.","Sonderaktionen / Jahrgangsweine / 1971-1980",,"http://shop.edeka24.de/out/pictures/generated/product/1/185_150_90/granpauletjahrgangswein_500_z1.jpg","http://shop.edeka24.de/out/pictures/generated/product/1/380_340_90/granpauletjahrgangswein_500_z1.jpg","Gran Paulet","http://www.zanox-affiliate.de/ppc/?20301248C727219293&ULP=[[zlVTeQdz8Xpz7wmGWBzBEd-1]]","2",,,"Ab 75 EUR Warenwert liefern wir versandkostenfrei.","3.95"
"0b7615c03a0c16e9e8db1ee97b29191c","0070000000137","Gran Paulet Gran Reserva Rotwein JG 1973","59.95","EUR",,"Rotwein - Spanien - Rioja. Diesen kraftvollen, körperreichen Jahrgangs-Rotwein erhalten Sie immer stilvoll in einer Spezialflasche verpackt in handgearbeiteter Winzerholzkiste mit Echtheitszertifikat.","Sonderaktionen / Jahrgangsweine / 1971-1980",,"http://shop.edeka24.de/out/pictures/generated/product/1/185_150_90/granpauletjahrgangswein_500_z1.jpg","http://shop.edeka24.de/out/pictures/generated/product/1/380_340_90/granpauletjahrgangswein_500_z1.jpg","Gran Paulet","http://www.zanox-affiliate.de/ppc/?20301248C727219293&ULP=[[fXdiks9FbXpz7wmGWBzBEd-1]]","2",,,"Ab 75 EUR Warenwert liefern wir versandkostenfrei.","3.95"
"2566f778781d2334ee91c395abb3333b","0070000000138","Gran Paulet Gran Reserva Rotwein JG 1974","59.95","EUR",,"Rotwein - Spanien - Rioja. Diesen kraftvollen, körperreichen Jahrgangs-Rotwein erhalten Sie immer stilvoll in einer Spezialflasche verpackt in handgearbeiteter Winzerholzkiste mit Echtheitszertifikat.","Sonderaktionen / Jahrgangsweine / 1971-1980",,"http://shop.edeka24.de/out/pictures/generated/product/1/185_150_90/granpauletjahrgangswein_500_z1.jpg","http://shop.edeka24.de/out/pictures/generated/product/1/380_340_90/granpauletjahrgangswein_500_z1.jpg","Gran Paulet","http://www.zanox-affiliate.de/ppc/?20301248C727219293&ULP=[[m5DAXgn4fXpz7wmGWBzBEd-1]]","2",,,"Ab 75 EUR Warenwert liefern wir versandkostenfrei.","3.95"
"22c90bddf04130f2acd9e79e56447d7f","0070000000139","Gran Paulet Gran Reserva Rotwein JG 1975","59.95","EUR",,"Rotwein - Spanien - Rioja. Diesen kraftvollen, körperreichen Jahrgangs-Rotwein erhalten Sie immer stilvoll in einer Spezialflasche verpackt in handgearbeiteter Winzerholzkiste mit Echtheitszertifikat.","Sonderaktionen / Jahrgangsweine / 1971-1980",,"http://shop.edeka24.de/out/pictures/generated/product/1/185_150_90/granpauletjahrgangswein_500_z1.jpg","http://shop.edeka24.de/out/pictures/generated/product/1/380_340_90/granpauletjahrgangswein_500_z1.jpg","Gran Paulet","http://www.zanox-affiliate.de/ppc/?20301248C727219293&ULP=[[MD4YyRmLjXpz7wmGWBzBEd-1]]","2",,,"Ab 75 EUR Warenwert liefern wir versandkostenfrei.","3.95"
"08e80e57ba5d51534bad0c8bbda4573b","0070000000140","Gran Paulet Gran Reserva Rotwein JG 1976","59.95","EUR",,"Rotwein - Spanien - Rioja. Diesen kraftvollen, körperreichen Jahrgangs-Rotwein erhalten Sie immer stilvoll in einer Spezialflasche verpackt in handgearbeiteter Winzerholzkiste mit Echtheitszertifikat.","Sonderaktionen / Jahrgangsweine / 1971-1980",,"http://shop.edeka24.de/out/pictures/generated/product/1/185_150_90/granpauletjahrgangswein_500_z1.jpg","http://shop.edeka24.de/out/pictures/generated/product/1/380_340_90/granpauletjahrgangswein_500_z1.jpg","Gran Paulet","http://www.zanox-affiliate.de/ppc/?20301248C727219293&ULP=[[jduR8FRbmXpz7wmGWBzBEd-1]]","2",,,"Ab 75 EUR Warenwert liefern wir versandkostenfrei.","3.95"
"260f7bd5f5b52b4f6e6284e7ce821391","0070000000141","Gran Paulet Gran Reserva Rotwein JG 1977","59.95","EUR",,"Rotwein - Spanien - Rioja. Diesen kraftvollen, körperreichen Jahrgangs-Rotwein erhalten Sie immer stilvoll in einer Spezialflasche verpackt in handgearbeiteter Winzerholzkiste mit Echtheitszertifikat.","Sonderaktionen / Jahrgangsweine / 1971-1980",,"http://shop.edeka24.de/out/pictures/generated/product/1/185_150_90/granpauletjahrgangswein_500_z1.jpg","http://shop.edeka24.de/out/pictures/generated/product/1/380_340_90/granpauletjahrgangswein_500_z1.jpg","Gran Paulet","http://www.zanox-affiliate.de/ppc/?20301248C727219293&ULP=[[DwkAChOkpXpz7wmGWBzBEd-1]]","2",,,"Ab 75 EUR Warenwert liefern wir versandkostenfrei.","3.95"
"26bd2b4700b45478dae05a96bdb5abc1","0070000000142","Gran Paulet Gran Reserva Rotwein JG 1978","59.95","EUR",,"Rotwein - Spanien - Rioja. Diesen kraftvollen, körperreichen Jahrgangs-Rotwein erhalten Sie immer stilvoll in einer Spezialflasche verpackt in handgearbeiteter Winzerholzkiste mit Echtheitszertifikat.","Sonderaktionen / Jahrgangsweine / 1971-1980",,"http://shop.edeka24.de/out/pictures/generated/product/1/185_150_90/granpauletjahrgangswein_500_z1.jpg","http://shop.edeka24.de/out/pictures/generated/product/1/380_340_90/granpauletjahrgangswein_500_z1.jpg","Gran Paulet","http://www.zanox-affiliate.de/ppc/?20301248C727219293&ULP=[[5nH7K3qmsXpz7wmGWBzBEd-1]]","2",,,"Ab 75 EUR Warenwert liefern wir versandkostenfrei.","3.95"
