"ArtNumber";"Title";"Description_Short";"DisplayPrice";"Img_url";"Deeplink1";"ProductCategoryID";"ProductCategoryName"
"1475.08";"Badia a Coltibuono Chianti Classico DOCG 2008, Bio Wein Rotwein";"Wer Chianti Classico kennt und mag, liebt Badia a Coltibuono! Einer der bekanntesten Vertreter seiner Art.";"12.50 EUR ";"http://www.delinat.com/flaschen/450h/1475.jpg";"http://partners.webmasterplan.com/click.asp?ref=576980&site=9561&type=text&tnb=5&diurl=http://www.delinat.com/weine/1475.08.html?rc=ag4&utm_source=affilinet&utm_medium=affiliate&utm_content=1475.08&utm-campaign=affilinet-csv";35844380;"Wein > Rotwein > Italien > Toscana"
"1509.10";"San Domingo Carmín Catalunya DO 2010, Bio Wein Rotwein";"Carmín steht für katalanische Weinbautradition gepaart mit moderner Stilistik: Cabernet Sauvignon, Merlot und Syrah treffen auf Garnacha; gereift in kleinen französischen und amerikanischen Eichenfässern.";"9.90 EUR ";"http://www.delinat.com/flaschen/450h/1509.06.jpg";"http://partners.webmasterplan.com/click.asp?ref=576980&site=9561&type=text&tnb=5&diurl=http://www.delinat.com/weine/1509.10.html?rc=ag4&utm_source=affilinet&utm_medium=affiliate&utm_content=1509.10&utm-campaign=affilinet-csv";35844392;"Wein > Rotwein > Spanien > Catalunya"
"1516.11";"Primitivo Primitivo Puglia IGT 2011, Bio Wein Rotwein";"Ein Geheimtipp für Freunde von authentischen Weinen aus dem Ursprungsgebiet des Primitivo - immer rasch ausverkauft!";"11.90 EUR ";"http://www.delinat.com/flaschen/450h/1516.jpg";"http://partners.webmasterplan.com/click.asp?ref=576980&site=9561&type=text&tnb=5&diurl=http://www.delinat.com/weine/1516.11.html?rc=ag4&utm_source=affilinet&utm_medium=affiliate&utm_content=1516.11&utm-campaign=affilinet-csv";35844385;"Wein > Rotwein > Italien > Puglia"
"1546.08";"Il Conventino Vino Nobile Riserva Nobile di Montepulciano DOCG 2008, Bio Wein Rotwein";"Der noble Traditionalist aus Montepulciano: Auf diesen vielfach ausgezeichneten Vino Nobile in Bioqualität sind wir besonders stolz.";"23.50 EUR ";"http://www.delinat.com/flaschen/450h/1546.jpg";"http://partners.webmasterplan.com/click.asp?ref=576980&site=9561&type=text&tnb=5&diurl=http://www.delinat.com/weine/1546.08.html?rc=ag4&utm_source=affilinet&utm_medium=affiliate&utm_content=1546.08&utm-campaign=affilinet-csv";35844387;"Wein > Rotwein > Italien > Toscana > Montepulciano"
"1548.10";"Vignano Odissea Chianti DOCG 2010, Bio Wein Rotwein";"Der Schweizer Walter Fromm erzeugt in den Colli Fiorentini einen bemerkenswerten Chianti - sanfter und weicher als jene aus dem Chianti Classico.";"11.90 EUR ";"http://www.delinat.com/flaschen/450h/1548.jpg";"http://partners.webmasterplan.com/click.asp?ref=576980&site=9561&type=text&tnb=5&diurl=http://www.delinat.com/weine/1548.10.html?rc=ag4&utm_source=affilinet&utm_medium=affiliate&utm_content=1548.10&utm-campaign=affilinet-csv";35844380;"Wein > Rotwein > Italien > Toscana"
"1558.09";"Vignano Il Primo Chianti Superiore DOCG 2009, Bio Wein Rotwein";"Ein wuchtiger, eigenständiger Chianti Superiore - voll auf der Frucht von Sangiovese gebaut und im Barrique perfekt ausbalanciert.";"24.50 EUR ";"http://www.delinat.com/flaschen/450h/1558.jpg";"http://partners.webmasterplan.com/click.asp?ref=576980&site=9561&type=text&tnb=5&diurl=http://www.delinat.com/weine/1558.09.html?rc=ag4&utm_source=affilinet&utm_medium=affiliate&utm_content=1558.09&utm-campaign=affilinet-csv";35844380;"Wein > Rotwein > Italien > Toscana"
"1578.10";"Albet i Noya Solc Penedès DO 2010, Bio Wein Rotwein";"Ein Meisterwerk zweier Terroir-Künstler aus Katalonien - ein Bekenntnis zum Unverfälschten.";"15.80 EUR ";"http://www.delinat.com/flaschen/450h/1578.jpg";"http://partners.webmasterplan.com/click.asp?ref=576980&site=9561&type=text&tnb=5&diurl=http://www.delinat.com/weine/1578.10.html?rc=ag4&utm_source=affilinet&utm_medium=affiliate&utm_content=1578.10&utm-campaign=affilinet-csv";35844398;"Wein > Rotwein > Spanien > Catalunya > Penedès"
"1601.11";"Albet i Noya Tempranillo Penedès DO 2011, Bio Wein Rotwein";"Degustationsnotiz:   Geschichte";"7.90 EUR ";"http://www.delinat.com/flaschen/450h/1601.11.jpg";"http://partners.webmasterplan.com/click.asp?ref=576980&site=9561&type=text&tnb=5&diurl=http://www.delinat.com/weine/1601.11.html?rc=ag4&utm_source=affilinet&utm_medium=affiliate&utm_content=1601.11&utm-campaign=affilinet-csv";35844398;"Wein > Rotwein > Spanien > Catalunya > Penedès"
"1643.08";"Albet i Noya Reserva Martí Penedès DO 2008, Bio Wein Rotwein";"Das Glanzlicht aus Katalonien - eine der besten Cuvées Spaniens. Die perfekte Symbiose von Jahrgang, Terroir und Traubensorten.";"29.50 EUR ";"http://www.delinat.com/flaschen/450h/1643.08.jpg";"http://partners.webmasterplan.com/click.asp?ref=576980&site=9561&type=text&tnb=5&diurl=http://www.delinat.com/weine/1643.08.html?rc=ag4&utm_source=affilinet&utm_medium=affiliate&utm_content=1643.08&utm-campaign=affilinet-csv";35844398;"Wein > Rotwein > Spanien > Catalunya > Penedès"
"1663.09";"Can Milà de la Roca Penedès DO 2009, Bio Wein Rotwein";"Can Milà de la Roca - ein Rotwein, der die Traubenvielfalt eines Weinbergs mit grosser Biodiversität widerspiegelt.";"9.50 EUR ";"http://www.delinat.com/flaschen/450h/1663.jpg";"http://partners.webmasterplan.com/click.asp?ref=576980&site=9561&type=text&tnb=5&diurl=http://www.delinat.com/weine/1663.09.html?rc=ag4&utm_source=affilinet&utm_medium=affiliate&utm_content=1663.09&utm-campaign=affilinet-csv";35844398;"Wein > Rotwein > Spanien > Catalunya > Penedès"
"1663.10";"Can Milà de la Roca Penedès DO 2010, Bio Wein Rotwein";"Das Spiegelbild eines lebendigen Weinbergs mit hoher Biodiversität.";"9.90 EUR ";"http://www.delinat.com/flaschen/450h/1663.jpg";"http://partners.webmasterplan.com/click.asp?ref=576980&site=9561&type=text&tnb=5&diurl=http://www.delinat.com/weine/1663.10.html?rc=ag4&utm_source=affilinet&utm_medium=affiliate&utm_content=1663.10&utm-campaign=affilinet-csv";35844398;"Wein > Rotwein > Spanien > Catalunya > Penedès"
