aff_link,img_medium,name,shortdescription,longdescription,author,outlet,price,external_id,further_keywords,vineyard
http://www.zanox-affiliate.de/ppc/?20301248C727219293&ULP=[[rsRZfxURxyhnduiGWBzBEd-1]],http://shop.edeka24.de/out/pictures/generated/product/1/380_340_90/tMmUIZaQryO9xtEJmn8b78-30.jpg,Osborne Fine Tawny Portwein,"In seinem kräftigen Rot spiegeln sich bernsteinfarbene Lichter. Im Duft dominiert tiefe Frucht mit nussigen Untertönen, die auf der Zunge breiter und cremiger werden.",,eworld24,eworld24 Online Shop,9.99,,"['Weinkeller / Rotwein / Portugal', 'Osborne']",
http://www.zanox-affiliate.de/ppc/?20301248C727219293&ULP=[[4dr4c18d3fda19017.42300614]],http://shop.edeka24.de/out/pictures/generated/product/1/380_340_90/woodbridgeshirazrose_500_z1.jpg,Robert Mondavi Woodbridge Shiraz Rosé 2010,"Roséwein - USA - Kalifornien. Delikat und herrlich erfrischend auch am Gaumen mit viel saftig aromatischer Frucht, zarten blumigen Noten und pikanter Würze.",,eworld24,eworld24 Online Shop,7.49,,"['Weinkeller / Ros\xc3\xa9weine', 'Robert Mondavi']",
http://www.zanox-affiliate.de/ppc/?20301248C727219293&ULP=[[37h2bFVrmooAoGfGWBzBEd-1]],http://shop.edeka24.de/out/pictures/generated/product/1/380_340_90/GjudLNLnpooAoGfGWBzBEd-30.jpg,Osborne Tawny Portwein 10 Jahre,Portugal. Ausgezeichnet mit der Goldmedaille International Wine and Spirits Competition.,,eworld24,eworld24 Online Shop,31.99,,"['Weinkeller / Rotwein / Portugal', 'Osborne']",
http://www.zanox-affiliate.de/ppc/?20301248C727219293&ULP=[[Ww3zPIp5KzamXKhGWBzBEd-1]],http://shop.edeka24.de/out/pictures/generated/product/1/380_340_90/09714f9fde8a3c1bc7325bb70b0a0365-9311910101222_iq.jpg,Peter Lehmann Barossa Cabernet Sauvignon 2009,"Rotwein - Australien - Barossa Valley. Ein neues Gewächs auf dem deutschen Weinmarkt, das seinesgleichen sucht. Dieser Cabernet Sauvignon ist in Geschmack und Qualität ein wahres Meisterwerk geworden.",,eworld24,eworld24 Online Shop,10.49,,"['Weinkeller / Rotwein / Australien Rotwein', 'Peter Lehmann']",
http://www.zanox-affiliate.de/ppc/?20301248C727219293&ULP=[[br44e0446e110b2a6.68411494]],http://shop.edeka24.de/out/pictures/generated/product/1/380_340_90/lehmann_rose_500minus42.jpg,Peter Lehmann Weighbridge Rosé JG 2009,"Rosewein - Australien. Feinfruchtig und knackig am Gaumen mit Aromen von frischen Sommerbeeren und einem harmonischen, sehr sauberen Finish. Enthält Sulfite.",,eworld24,eworld24 Online Shop,4.00,,"['Weinkeller / Weinkeller / Ros\xc3\xa9weine', 'Peter Lehmann']",
http://www.zanox-affiliate.de/ppc/?20301248C727219293&ULP=[[lmxjktCdNkzgsXlGWBzBEd-1]],http://shop.edeka24.de/out/pictures/generated/product/1/380_340_90/mTTXHMji0FCbrXeGWBzBEd-30.jpg,Osborne Late Bottled Vintage Portwein 2007,Der elegante Osborne Late Bottled Vintage präsentiert sich als ein reifer Portwein mit weinig-süßem Vintage-Charakter.,,eworld24,eworld24 Online Shop,15.99,,"['Weinkeller / Rotwein / Portugal', 'Osborne']",
http://www.zanox-affiliate.de/ppc/?20301248C727219293&ULP=[[l8F7TQ6wmShnduiGWBzBEd-1]],http://shop.edeka24.de/out/pictures/generated/product/1/380_340_90/lochnagar_600_z1.jpg,Royal Lochnagar 12 Jahre Single Malt Whisky,Highland Single Malt Scotch Whisky. Dieser Single Malt ist reich an Geschmacksnoten von Früchtekuchen und Gewürzen.,,eworld24,eworld24 Online Shop,25.90,,"['Weinkeller / Sonderaktionen / Restposten Wein', 'Royal Lochnagar']",
http://www.zanox-affiliate.de/ppc/?20301248C727219293&ULP=[[uzKXSRbK1BzhKolGWBzBEd-1]],http://shop.edeka24.de/out/pictures/generated/product/1/380_340_90/brut_imp_grossflasch_600_z1.jpg,Moët & Chandon Champagner Brut Imperial 3 ltr,"Jeroboam-Flasche in der Holzkiste. Vollkommen, großzügig und dynamisch dank der Harmonie der drei Rebsorten. Brut Impérial steht im Zentrum der Impérial Familie, das Aushängeschild des Hauses Moët & Chandon.",,eworld24,eworld24 Online Shop,315.00,,"['Weinkeller / Sonderaktionen / Restposten Wein', 'Mo\xc3\xabt & Chandon']",
http://www.zanox-affiliate.de/ppc/?20301248C727219293&ULP=[[u4vd06cc938908224831abf8dccb1e35]],http://shop.edeka24.de/out/pictures/generated/product/1/380_340_90/7790975017020.png,Terrazas de los Andes Cabernet Sauvignon 2008,,,eworld24,eworld24 Online Shop,9.99,,"['Weinkeller / Rotwein / Argentinien Rotwein', 'Terrazas de los Andes']",
http://www.zanox-affiliate.de/ppc/?20301248C727219293&ULP=[[4rb3edc2f50fca8a9a11a84d1e1bed1b]],http://shop.edeka24.de/out/pictures/generated/product/1/380_340_90/cloudy-bay-pino-noir_750.jpg,Cloudy Bay Pinot Noir,Rotwein - Neuseeland - Wairau Valley,,eworld24,eworld24 Online Shop,26.99,,"['Weinkeller / Rotwein / Neuseeland Rotwein', 'Cloudy Bay']",
http://www.zanox-affiliate.de/ppc/?20301248C727219293&ULP=[[4rbd467c1c8499578887ee3e3d234fd3]],http://shop.edeka24.de/out/pictures/generated/product/1/380_340_90/cloudy-bay-chardonnay_750.jpg,Cloudy Bay Chardonnay 2008,Weißwein - Neuseeland - Marlborough,,eworld24,eworld24 Online Shop,24.99,,"['Weinkeller / Wei\xc3\x9fwein / Neuseeland Wei\xc3\x9fwein', 'Cloudy Bay']",
http://www.zanox-affiliate.de/ppc/?20301248C727219293&ULP=[[l2m4522b873fe9e04dc94973511af4f2]],http://shop.edeka24.de/out/pictures/generated/product/1/380_340_90/cloudy-bay-chardonnay_750.jpg,Cloudy Bay Chardonnay 2007,Weißwein - Neuseeland - Marlborough,,eworld24,eworld24 Online Shop,24.99,,"['Weinkeller / Wei\xc3\x9fwein / Neuseeland Wei\xc3\x9fwein', 'Cloudy Bay']",
http://www.zanox-affiliate.de/ppc/?20301248C727219293&ULP=[[AtPXJFLo3D6wUfeGWBzBEd-1]],http://shop.edeka24.de/out/pictures/generated/product/1/380_340_90/brut_grossflasche_750_z1.jpg,Veuve Clicquot Champagner Brut 3 ltr,"in einer Holzkiste. Der berühmteste unter den Champagner aus den Kellern von Veuve Clicquot Ponsardin. Eine ausgewogene Cuvée, abgerundet mit einem feinen und lebhaften Charakter.",,eworld24,eworld24 Online Shop,350.00,,"['Weinkeller / Sonderaktionen / Restposten Wein', 'Veuve Clicquot']",
http://www.zanox-affiliate.de/ppc/?20301248C727219293&ULP=[[6uv4a8d548d28c908.61070529]],http://shop.edeka24.de/out/pictures/generated/product/1/380_340_90/cb_sauvignonblanc_600_z1.jpg,Cloudy Bay Sauvignon Blanc Weißwein JG 2011,"Weißwein - Neuseeland - Malborough.  91 Punkte, Wine Spectator (Jahrgang 2008). Dieser Wein genießt eine Geltung als vollkommener Ausdruck der Kultregion Marlborough. Enthält Sulfite.",,eworld24,eworld24 Online Shop,20.99,,"['Weinkeller / Sonderaktionen / Premiumweine', 'Cloudy Bay']",
http://www.zanox-affiliate.de/ppc/?20301248C727219293&ULP=[[6uv4a8d4f74de7d18.70218571]],http://shop.edeka24.de/out/pictures/generated/product/1/380_340_90/tz_reservamalbec_500_z1.jpg,Terrazas de los Andes Malbec Reserva 2008,"Rotwein - Argentinien - Malbec. 6 mal 90+ Punkte, 8 mal 88-89 Punkte, Wine Spectator und Wine Enthusiast für die letzten zwei Jahrgänge. Wine Spectator SAMRT BUYS, zwei Jahre in Folge Wine Spectator Top 100 Wein.",,eworld24,eworld24 Online Shop,16.99,,"['Weinkeller / Sonderaktionen / Premiumweine', 'Terrazas de los Andes']",
